Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
medical-neck-traction-device,Medical Neck Traction Device,"<p>Professional medical-grade neck traction device for relief of cervical pain and tension. Provides gentle stretching to decompress vertebrae and alleviate pressure on nerves.</p>",Alpha Medical Care,Pain Relief,"neck,traction,pain-relief,cervical",TRUE,Title,Default Title,MNT-001,500,shopify,100,deny,manual,89.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823567/pexels-photo-6823567.jpeg?auto=compress&cs=tinysrgb&w=600,1,Medical Neck Traction Device,FALSE,Medical Neck Traction Device - Professional Cervical Pain Relief,Relief cervical pain with our professional medical-grade neck traction device. Gentle decompression for lasting comfort.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
neck-traction-device-inflatable,Neck Traction Device Inflatable,"<p>Portable inflatable neck traction device that provides adjustable cervical stretching. Perfect for home use and travel.</p>",Alpha Medical Care,Pain Relief,"neck,traction,inflatable,portable",TRUE,Title,Default Title,NTI-001,300,shopify,100,deny,manual,79.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823567/pexels-photo-6823567.jpeg?auto=compress&cs=tinysrgb&w=600,1,Inflatable Neck Traction Device,FALSE,Inflatable Neck Traction Device - Portable Pain Relief,Portable inflatable neck traction for on-the-go cervical pain relief. Adjustable and easy to use.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
posture-corrector-back-brace,Posture Corrector Back Brace,"<p>Ergonomic back brace designed to improve posture and reduce back strain. Adjustable straps for custom fit and comfort.</p>",Alpha Medical Care,Pain Relief,"posture,back,brace,support",TRUE,Title,Default Title,PCB-001,250,shopify,100,deny,manual,49.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823574/pexels-photo-6823574.jpeg?auto=compress&cs=tinysrgb&w=600,1,Posture Corrector Back Brace,FALSE,Posture Corrector Back Brace - Improve Your Posture,Correct your posture and reduce back pain with our adjustable back brace. Comfortable all-day wear.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
back-brace-lower-back-pain,Back Brace for Lower Back Pain,"<p>Lumbar support brace providing targeted compression and stability for lower back pain relief. Breathable material for all-day comfort.</p>",Alpha Medical Care,Pain Relief,"back,lumbar,support,pain-relief",TRUE,Title,Default Title,LBB-001,350,shopify,100,deny,manual,59.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823574/pexels-photo-6823574.jpeg?auto=compress&cs=tinysrgb&w=600,1,Lower Back Pain Brace,FALSE,Back Brace for Lower Back Pain - Lumbar Support,Relieve lower back pain with our lumbar support brace. Breathable and adjustable for maximum comfort.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
smart-cupping-massage-instrument,Smart Cupping Massage Instrument,"<p>Advanced electric cupping device with heat therapy and massage functions. USB rechargeable with multiple intensity levels.</p>",Alpha Medical Care,Pain Relief,"cupping,massage,therapy,smart",TRUE,Title,Default Title,SCM-001,400,shopify,100,deny,manual,149.99,,TRUE,TRUE,,https://images.pexels.com/photos/5473184/pexels-photo-5473184.jpeg?auto=compress&cs=tinysrgb&w=600,1,Smart Cupping Massage Device,FALSE,Smart Cupping Massage Instrument - Electric Therapy,Modern electric cupping therapy with heat and massage. USB rechargeable for convenient at-home treatment.,Health & Beauty > Personal Care > Massage & Relaxation,,,,,,,,,,,,,kg,,,,active
5-in-1-smart-cupping-therapy-set,5-in-1 Smart Cupping Therapy Set,"<p>Complete cupping therapy system with 5 different cup sizes. Includes smart control unit with timer and intensity adjustment.</p>",Alpha Medical Care,Pain Relief,"cupping,therapy,set,professional",TRUE,Title,Default Title,CTS-001,800,shopify,100,deny,manual,199.99,,TRUE,TRUE,,https://images.pexels.com/photos/5473184/pexels-photo-5473184.jpeg?auto=compress&cs=tinysrgb&w=600,1,5-in-1 Cupping Therapy Set,FALSE,5-in-1 Smart Cupping Therapy Set - Professional Grade,Professional cupping therapy set with 5 cups and smart controls. Perfect for home or clinical use.,Health & Beauty > Personal Care > Massage & Relaxation,,,,,,,,,,,,,kg,,,,active
electric-foot-hand-massager,Electric Foot and Hand Massager,"<p>Dual-purpose massager for feet and hands with heating function. Multiple massage modes including kneading and compression.</p>",Alpha Medical Care,Pain Relief,"massager,foot,hand,electric",TRUE,Title,Default Title,FHM-001,1200,shopify,100,deny,manual,129.99,,TRUE,TRUE,,https://images.pexels.com/photos/3771110/pexels-photo-3771110.jpeg?auto=compress&cs=tinysrgb&w=600,1,Electric Foot and Hand Massager,FALSE,Electric Foot and Hand Massager - Heat Therapy,Relax tired feet and hands with our electric massager. Heat therapy and multiple massage modes.,Health & Beauty > Personal Care > Massage & Relaxation,,,,,,,,,,,,,kg,,,,active
foot-air-pressure-leg-massage,Foot Air Pressure Leg Massage,"<p>Air compression massage system for legs and feet. Promotes circulation and reduces swelling with customizable pressure levels.</p>",Alpha Medical Care,Pain Relief,"foot,leg,massage,compression",TRUE,Title,Default Title,FLM-001,1500,shopify,100,deny,manual,189.99,,TRUE,TRUE,,https://images.pexels.com/photos/3771110/pexels-photo-3771110.jpeg?auto=compress&cs=tinysrgb&w=600,1,Air Pressure Leg Massager,FALSE,Foot Air Pressure Leg Massage - Circulation Therapy,Improve circulation with our air pressure leg massage system. Reduces swelling and fatigue.,Health & Beauty > Personal Care > Massage & Relaxation,,,,,,,,,,,,,kg,,,,active
air-pressure-leg-massage-recovery-boots,Air Pressure Leg Massage Recovery Boots,"<p>Professional recovery boots used by athletes. Sequential air compression technology for optimal muscle recovery.</p>",Alpha Medical Care,Pain Relief,"recovery,boots,compression,athletic",TRUE,Title,Default Title,RCB-001,2000,shopify,100,deny,manual,299.99,,TRUE,TRUE,,https://images.pexels.com/photos/8172765/pexels-photo-8172765.jpeg?auto=compress&cs=tinysrgb&w=600,1,Recovery Compression Boots,FALSE,Air Pressure Leg Massage Recovery Boots - Athletic Recovery,Professional recovery boots for athletes. Sequential compression for faster muscle recovery.,Sports & Outdoors > Exercise & Fitness > Fitness Equipment,,,,,,,,,,,,,kg,,,,active
thermal-knee-massager,Thermal Knee Massager,"<p>Heated knee massager with vibration and infrared therapy. Adjustable straps fit all knee sizes comfortably.</p>",Alpha Medical Care,Pain Relief,"knee,massager,heat,therapy",TRUE,Title,Default Title,TKM-001,600,shopify,100,deny,manual,139.99,,TRUE,TRUE,,https://images.pexels.com/photos/6823581/pexels-photo-6823581.jpeg?auto=compress&cs=tinysrgb&w=600,1,Thermal Knee Massager,FALSE,Thermal Knee Massager - Heat and Vibration Therapy,Soothe knee pain with heat and vibration. Infrared therapy for deep tissue relief.,Health & Beauty > Health Care > Medical Supplies & Equipment,,,,,,,,,,,,,kg,,,,active
